folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,appleid,APPLES Participant ID,,identifier,,,ID Table,,,
Administrative,dayssincerandfradh,Days Since Randomization,,numeric,days,,Adherence,,,
Administrative,excludecategory,"Exclusion, Withdrawal, Dropped, or Disqualified Category",APPLES Subject Status Definitions 12-04 2,choices,,excludecategory,SISS,,,
Administrative,excluderandreason,"Exclusion, Withdrawal, Dropped, or Disqualified Reason",APPLES Subject Status Definitions 12-04 2,text,,,SISS,,,
Administrative,offtreatmentorstudy,"Off-Treatment, Off-Study, or Completed",APPLES Subject Status Definitions 12-04 2,choices,,offtreatmentorstudy,SISS,,,
Administrative,randomized,"Randomized Partcipant: 0=Not randomized, 1=Randomized",,choices,,randomized,SISS,,,
Administrative,site,Site,,choices,,site,SISS,,,
Administrative,txgroup,Treatment Group (0= Non-randomized; 1) Group A = Sham; 2) Group B = Active),,choices,,txgroup,SISS,,,
Administrative,visit,Visit (BL=Baseline),,choices,,visit,SHQ;HP;HL;MEQ;BDI;MMSE;SSS;HAMD,,,
Administrative,visitn,Visit (Number),:visit: converted into number by NSRR team,choices,,visitn,,,,
Anthropometry,analysisgroup,Analysis Group (Yes/No; 1098 analyzed in primary manuscript),,choices,,analysisgroup,SISS,,,
Anthropometry,bmiblquan,Baseline Body Mass Index ,,numeric,kilograms per square meter,,"HL, HP",,,
Anthropometry,bmihl,Body Mass Index from Health Log,,numeric,kilograms per square meter,,HL,,,
Anthropometry,bmihlhp,"Body Mass Index from Health Log and 4M HP (HL is gold standard, use 4M HP if HL missing)",,numeric,kilograms per square meter,,HL/HP,,,
Anthropometry,bmihp,Body Mass Index from HP,,numeric,kilograms per square meter,,HP,,,
Anthropometry,height,Height (inches) from HP,,numeric,inches,,HP,,,
Anthropometry,heighthl,Height from Health Log,,numeric,inches,,HL,,,
Anthropometry,neckcircinchhp,Neck Circumference in Inches from HP Physical Exam,,numeric,inches,,HP,,,
Anthropometry,waisttohipratiohp,Waist to Hip Ratio Derived from HP Physical Exam,,numeric,,,HP,,,
Anthropometry,weight,Weight (pounds) from HP,,numeric,pounds,,HP,,,
Anthropometry,weighthp,Weight from 4M HP,,numeric,pounds,,HP,,,
Anthropometry,weighthl,Weight from Health Log,,numeric,pounds,,HL,,,
Anthropometry,weighthlhp,"Weight from Health Log and 4M HP (HL is gold standard, use 4M HP if HL missing)",,numeric,pounds,,HL/HP,,,
Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT),consistentlongtermretrieval,Buschke Selective Reminding Test (BSRT) Consistent Long Term Retrieval,,numeric,,,BSRT;cognitive,,,
Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT),longtermretrieval,Buschke Selective Reminding Test (BSRT) Long Term Retrieval,,numeric,,,BSRT;cognitive,,,
Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT),longtermstorage,Buschke Selective Reminding Test (BSRT) Long Term Storage,,numeric,,,BSRT;cognitive,,,
Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT),randomlongtermretrieval,Buschke Selective Reminding Test (BSRT) Random Long Term Retrieval,,numeric,,,BSRT;cognitive,,,
Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT),shorttermretrieval,Buschke Selective Reminding Test (BSRT) Short Term Retrieval,,numeric,,,BSRT;cognitive,,,
Clinical Data/Neurocognitive Testing/Buschke Selective Reminding Test (BSRT),sumrecall,Buschke Selective Reminding Test (BSRT) Sum Recall - 1 NC Outcome ,,numeric,,,BSRT;cognitive,,,
Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN),pfnacc,Cogscreen Pathfinder Number (PN) Accurarcy,,numeric,,,PFNRTC;cognitive,,,
Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN),pfncoor,Cogscreen Pathfinder Number (PN) Coordination,,numeric,,,PFNRTC;cognitive,,,
Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN),pfnrtc,Cogscreen Pathfinder Number (PN) Reaction Time,,numeric,,,PFNRTC;cognitive,,,
Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN),pfnput,Cogscreen Pathfinder Number (PN) Thruput,,numeric,,,PFNRTC;cognitive,,,
Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN),pfntotl,Cogscreen Pathfinder Number (PN) Total Time - 1 NC Outcome ,,numeric,,,PFNRTC;cognitive,,,
Clinical Data/Neurocognitive Testing/Cogscreen Pathfinder Number (PN),session,CogScreen Session,,numeric,,,PFNRTC;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totalcorr12,Paced Auditory Serial Addition Task (PASAT) Total Correct Responses - 1.2 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totalcorr16,Paced Auditory Serial Addition Task (PASAT) Total Correct Responses - 1.6 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totalcorr20,Paced Auditory Serial Addition Task (PASAT) Total Correct Responses - 2.0 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totalcorr24,Paced Auditory Serial Addition Task (PASAT) Total Correct Responses - 2.4 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totalcorrall,Paced Auditory Serial Addition Task (PASAT) Total Correct Responses - All 4 trials combined,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totaldyad12,Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 1.2 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totaldyad16,Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 1.6 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totaldyad20,Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.0 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totaldyad24,Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - 2.4 second trial,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Paced Auditory Serial Addition Task (PASAT),totaldyadall,Paced Auditory Serial Addition Task (PASAT) Total Dyad Responses - All 4 trials combined,,numeric,,,PASAT;cognitive,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),falsestartsc,"Psychomotor Vigilance Test (PVT) False Start (C) (no stimulus, correct key)",PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),falsestartse,"Psychomotor Vigilance Test (PVT) False Start (E) (no stimulus, incorrect key)",PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),goodrs,Psychomotor Vigilance Test (PVT) Good Rs (correct responses) ,PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),hand,Psychomotor Vigilance Test (PVT) Handedness,PVT QC Rules 3-25-09 FINAL,choices,,hand,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),isimaximum,Psychomotor Vigilance Test (PVT) Interstimulus Interval Maximum,PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),isiminimum,Psychomotor Vigilance Test (PVT) Interstimulus Interval Minimum,PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),meanfrt,Psychomotor Vigilance Test (PVT) Mean of fastest 10% of RTs (msec),PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),meansrt,Psychomotor Vigilance Test (PVT) Mean of slowest 10% of RTs (msec),PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),meansrrt,Psychomotor Vigilance Test (PVT) Mean reciprocal (1/RT) of slowest 10% of responses,PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
Clinical Data/Neurocognitive Testing/Psychomotor Vigilance Test (PVT),meanrt,Psychomotor Vigilance Test (PVT) Mean RT (msec),PVT QC Rules 3-25-09 FINAL,numeric,,,PVT;sleep_related_impairment,,,
